;parced;link;datenews;headline;altheadline;txtnewsfull;views;comments;rating;rubric;tags
31;2020-02-08 13:53:17;https://ngs24.ru/news/more/66483139/;2020-02-06 20:40:25;В Красноярске сгорел автомобиль скорой помощи;Причина возгорания устанавливается;Причины пожара устанавливаются Фото: vk.com / kraschpИнцидент произошел сегодня вечером около дома № 9 на улице Паровозной. Как сообщили в МЧС по Красноярскому краю, в момент возгорания в скорой были только водитель и фельдшер, они не пострадали. Автомобиль выгорел полностью Фото: vk.com / kraschpВидео и фотографиями с места пожара поделились пользователи в группе «ЧП Красноярск» во «ВКонтакте». Автомобиль выгорел полностью.;2438;7;ЛАЙК0СМЕХ0УДИВЛЕНИЕ0ГНЕВ2ПЕЧАЛЬ0;Происшествия;#мчс по красноярскому краю,
32;2020-02-08 13:53:17;https://ngs24.ru/news/more/66483070/;2020-02-06 20:20:38;В Дивногорске меняют герб. На нем не будет главного символа города;Предыдущий герб города был утвержден в 1995 году;Символ города может остаться только в виде памятника Фото: Татьяна СтригановаПроект решения Совета городских депутатов появился на сайте администрации Дивногорска. Среди самых заметных изменений — надпись «Дивногорск» в верхней части герба заменили на «муниципальную корону». Впрочем, герб может быть изображен и без нее. Как и раньше, изображение поделено на две части, с символом ГЭС в центре. Только в современном гербе гидроэлектростанция изображена в виде турбины желтого цвета.Новый вариант герба выглядит несколько упрощенным Фото: администрация ДивногорскаВ центре герба нет палатки первостроителей ГЭС. Почему решено отказаться от этого символа, не сообщается.В феврале в Дивногорске должны будут пройти выборы мэра. Предыдущий глава города подал в отставку в конце прошлого года, проработав на этом посту 10 лет.;2085;11;ЛАЙК0СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Политика;#Дивногорск,
33;2020-02-08 13:53:18;https://ngs24.ru/news/more/66475990/;2020-02-06 19:45:00;Три инсайта после родов: за что я осуждала молодых мам;И сама такой стала;Александра Исмайлова: «Я буду счастлива, если мой ребёнок за киндер согласится пойти в детский сад» Фото: Александра ИсмайловаКолумнист Александра Исмайлова стала мамой и поняла смысл индейской мудрости «Не судите человека, пока не проходили две луны в его мокасинах». Почитайте ее колонку:Ловили себя хоть раз на мысли «Никогда такой не буду!», глядя, как обращаются молодые мамы с маленькими детьми? Я тоже ловила — и не раз. А потом сама стала мамой… И поняла смысл индейской мудрости: «Не судите человека, пока не проходили две луны в его мокасинах».Подкуп киндеромДо декрета я работала в газете. У нашей замредактора была маленькая дочка, которую она водила в детский сад. Однажды замредактора поделилась, что с утра дочка капризничала, не хотела собираться.— Пришлось пообещать, что вечером куплю ей киндер-сюрприз, если сейчас она будет слушаться и быстро оденется, — рассказала Лида.«Какой кошмар! — подумала я. — Подкупать маленького ребёнка! Никогда такой не буду. Отношения между детьми и родителями должны строиться иначе».Наивная! Я ничего не знала о трёхлетках. Это самые упрямые и непослушные существа в мире. Да я буду счастлива, если мой ребёнок за киндер согласится пойти в детский сад!Конечно, если есть в запасе время, с ними можно договориться. Например, я могу около часа убеждать сына почистить зубы или, скажем, переодеться из грязной майки в чистую. Если времени в обрез и действовать нужно быстро, есть только два варианта. Наорать или пообещать что-то очень хорошее. (Я не рассматриваю крайние меры — шлепки, насильное одевание/чистка зубов или дети, запуганные до такой степени, что слушаются с полуслова. Ничего хорошего в этом нет.) Естественно, нормальная мама предпочтёт второй вариант.Фото детей в соцсетяхБесит, не правда ли? Ну хватит уже выкладывать своих сопливых отпрысков! Я не хочу любоваться тридцать фотографий подряд, как чей-то годовасик тусит в песочнице. Или сидит на горшке. Или перемазал мордочку шоколадкой.Ближе к 25 годам моя новостная лента «ВК» стала стремительно заполняться детьми. «Да что, у этих мамаш других интересов нет?! Никогда такой не буду!» — самоуверенно решила я.И пропала из соцсетей почти на год, когда родился сын.А через год захотелось уже хоть что-то выложить. Как-то напомнить миру о себе. Обновить аватарку. Но вот незадача! На всех свежих фотографиях я была, конечно же, с малышом.Осуждая мам, я просто не понимала, насколько неразлучны женщина и ребёнок первое время.А потом он сделал первые шаги. Первые куличики из песка. Впервые отправился со мной в путешествие. Впервые нарядил ёлку на Новый год. Как можно было этим не поделиться?В какой-то момент я поймала себя на желании выложить перемазанную шоколадом мордашку. Это же так мило!Разговор с подругой/сидение в телефонеЗамечали на улице или в ТЦ, как две девушки болтают, а ребёнок одной из них носится вокруг, дёргает маму за юбку, обращается к ней с вопросами, вопит, шалит и всячески старается привлечь внимание, а от него отмахиваются?Я много раз наблюдала подобные сценки. И, конечно, осуждала мамаш: неужели сложно уделить внимание своему ребёнку? Неужели подруга важнее?Теперь, уже будучи мамой, я готова выступить адвокатом всех женщин и девушек, остановившихся поболтать с подругой. И даже тех мамаш, которые сидят в телефоне, пока ребёнок бегает по детской площадке. Потому что я сама была на их месте.Эти 30 минут разговора — с подругой или с мамой, вживую или по телефону — для меня были единственной отдушиной за весь день. Единственной возможностью поговорить с кем-то старше двух лет. Все остальные примерно 12 часов в сутки я отвечала на вопросы: «Зачем солнце?», «Зачем лужи?», «Зачем соседка пошла домой?»Я работала с телефона, пока ребёнок играл на детской площадке — писала посты на заказ, редактировала тексты, организовывала фотосъёмки, согласовывала интервью. Да, я могла от него отмахнуться, попросить подождать. Потому что если я не поработаю, нам будет нечего есть. И уж лучше я поработаю на детской площадке, где сын может сам себя развлечь, чем включу ему дома на целый час отупляющие мультики.Мораль этой колонки такова: не судите молодых мам, пока сами ими не стали. В идеале — предложите помощь.Согласны с автором? Мнение автора может не совпадать с мнением редакции ;2073;6;ЛАЙК2СМЕХ0УДИВЛЕНИЕ0ГНЕВ1ПЕЧАЛЬ1;Развлечения  Мнение;#молодая мама, #роды, #воспитание детей,
34;2020-02-08 13:53:19;https://ngs24.ru/news/more/66485668/;2020-02-08 12:42:26;Красноярская активистка направила обращение в правительство РФ. Ответ направили в Краснодарский край;Ответ аппарата правительства ее рассмешил;Лаборатория должна появиться в горах в 6 км от Железногорска  Фото: Артём Ленц Активистка Наталия Подоляк написала обращение в аппарат правительства России по поводу деклараций на хранилище ядерных отходов и получила ответ.В ответе сказано, что сообщение было рассмотрено и в соответствии с федеральным законом оно было направлено в администрацию… Краснодарского края! Произошедшая ситуация рассмешила и самую Наталию, и других активистов. Например, активист Федор Марьясов сравнил произошедшее с фильмом «Люди и манекены» и вспомнил сценку под названием «Запустить дурочку».Ответ аппарата правительства вызвал смех у красноярских активистов Фото: Фёдор Марьясов / facebook«Видимо, члены правительства по этому кино учились азам управления, — пишет Марьясов. — А может быть, друзья, мы чего-то не знаем? Может быть, Красноярский край решили переименовать в Краснодарский или объединить оба края и переселить всех сибиряков на юг… Или это одной Подоляк был лёгкий намёк, мол, будь умницей, веди себя тихо — мы вам направили ответ по вашему новому месту жительства?... Вот, а кто-то ещё смеялся. Не зря на митингах носы морозили наши активистки, не зря. Так, друзья, кто ещё хочет за антиядерный баннер на морозе подержаться и переехать в Краснодарский край?».В Красноярском крае с 2012 года собираются строить хранилище ядерных отходов, и в августе прошлого года «Росатом» уже начал искать тех, кто это хранилище построит. Мы рассказывали о ходе строительства и почему выбрано именно это место. Первой, по заверениям представителей «Росатома», здесь должна появиться исследовательская лаборатория, которая даст ответ, можно ли тут строить хранилище. ;711;9;ЛАЙК1СМЕХ1УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Город;#Наталия Подоляк, #ядерное хранилище, #Краснодарский край,
35;2020-02-08 13:53:19;https://ngs24.ru/news/more/66485626/;2020-02-08 11:32:39;Молодые красноярцы сняли квартиру и оборудовали там нарколабораторию;Им грозит 20 лет колонии;Найденная коробка со всякими веществами и один из задержанных Фото: ГУ МВД по Красноярскому краюОпероуполномоченные Управления по контролю за оборотом наркотиков Красноярского края ликвидировали лабораторию по изготовлению синтетических наркотиков.Опертивники выяснили, что организаторами лаборатории стали молодые люди 22 лет и 24-летняя девушка. Они сняли съемную квартиру, где изготавливали синтетический наркотик, а также хранили его для дальнейшего сбыта через интернет.— Сотрудники полиции обнаружили и изъяли около 200 грамм уже готового наркотика. Кроме того, было изъято специальное оборудование для синтеза «соли»: весы, реагенты, колбы, полиэтиленовый пакет с наркотическими средствами, приготовленными для дальнейшего сбыта путем закладок в тайниках. Приборы и химические реактивы злоумышленники получали по почте, которые сами по себе не являются наркотикам, — говорится в сообщении ГУ МВД.В отношении задержанных возбудили уголовное дело по двум статьям, им грозит до 20 лет лишения свободы;1863;4;ЛАЙК0СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Криминал;#нарколаборатория,
36;2020-02-08 13:53:20;https://ngs24.ru/news/more/66485617/;2020-02-08 10:42:55;С ж/д моста на Свободном оторвалась балка и нависла над дорогой. Движение частично перекрыто (обновлено);На месте работают сотрудники ГИБДД;Балка опасно повисла над проезжей частью Фото: ГИБДД В Красноярске на проспекте Свободном произошло ЧП — оторвалась металлическая балка с железнодорожного моста на путепроводе. Она повисла над проезжей частью и создавала опасность движению.Как объяснили в ГИБДД, на месте сейчас безопасность обеспечивают инспекторы, на данный момент ограничено движение со стороны Маерчака до Красномосковской (на подъем), в обратном направлении движение не перекрыто.— Сотрудники ГИБДД изучают записи камер видеонаблюдения, чтобы установить все обстоятельства произошедшего, — говорится в сообщении ГИБДД.;1905;7;ЛАЙК0СМЕХ0УДИВЛЕНИЕ1ГНЕВ2ПЕЧАЛЬ0;Происшествия;#балка, #ЧП,
37;2020-02-08 13:53:20;https://ngs24.ru/news/more/66485605/;2020-02-08 10:23:29;«Это грубое вторжение человека в экологию»: жена экс-губернатора объяснила природу коронавируса;Она предложила лечить его гомеопатией;Наталья Толоконская — врач в Новосибирском гомеопатическом центре  Фото: Наталья Толоконская / facebook Наталья Толоконская, супруга бывшего губернатора Красноярского края Виктора Толоконского, объяснила, почему, с ее точки зрения, в мире произошла вспышка коронавируса. Она сравнила это со вспышкой атипичной пневмонии в 2002–2003 годах.«И тоже виноватым объявлен коронавирус. Ситуация как под копирку. Тоже уповали на вакцину. Прошло 17 лет, пришел еще более агрессивный вирус, а человек еще более растерян, ослаблен и не защищен. Вспышкой в Китае природа еще раз напоминает, что грубое вторжение человека в экологию стремительно ускоряет конструирование новых инфекционных агентов. Так микромир защищается, вынужденно применяет новые формы изменчивости, всегда опережая человека на 100 шагов. Чем более разорен микромир человека, в первую очередь, ковровой бомбардировкой антибиотиками, тем больше потери здоровья. В разрушенном иммунитете человек уязвим, поэтому и непредсказуемы масштабы вспышки и ущерб человеку, особенно при встрече с обновленным вирусом».Она также отметила, что прививать от этого коронавируса весь мир нет смысла, потому что человек вскоре к нему быстро адаптируется и заболеваемость снизится, и болезнь перестанет быть такой тяжелой.В следующем своем посте она предложила варианты профилактики и лечения. По ее мнению, лучшим способом лечения является гомотоксикология (это такая разновидность гомеопатии. — Прим. ред.).«Так можно не объявлять очередной коронавирус врагом, а восстанавливать экологию отношений с ним», — заключает Наталья Толоконская.В мае прошлого года Наталья Толоконская рассказала о повышении иммунитета после укусов клеща, чем вызвала всеобщее негодование.;1195;16;ЛАЙК2СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Здоровье  Китайский коронавирус;#гомеопатия, #Наталья Толоконская,
38;2020-02-08 13:53:22;https://ngs24.ru/news/more/66485599/;2020-02-08 09:34:17;Красноярец прошелся по капоту припаркованного авто, вместо того, чтобы обойти. Он упал, но не сдался;Машина стояла припаркованной вплотную к стене;Задуманное молодому человеку удалось осуществить с большим трудом  Фото: ЧП Красноярск Этот случай сняли камеры виднонаблюдения на улице Высотной.Мужчина, увидев автомобиль, вплотную припаркованный к стене, решил не обходить его, а пройти прямо по капоту. Правда, попытка оказалась неудачной и он упал, а потом зацепился за водосточную трубу и сломал ее, упав уже вместе с ней. Но он не сдался и все-таки продолжил перелезать через капот. Наконец, ему это удалось.В группе «ЧП Красноярск» мнения разделились — одни встали на сторону автомобилиста, а другие — на сторону молодого человека, объяснив, что это автомобилист виноват, что так припарковался.По видео непонятно, остались ли на машине вмятины. Но если да, по российским законам за порчу имущества положен штраф до 40 тысяч. Кроме того, виновного могут заставить возместить материальный ущерб.;3193;14;ЛАЙК8СМЕХ3УДИВЛЕНИЕ1ГНЕВ2ПЕЧАЛЬ1;Дороги и транспорт;#парковка,
39;2020-02-08 13:53:22;https://ngs24.ru/news/more/66485404/;2020-02-07 23:12:09;Под Казанью на частном вертолете разбился депутат Госдумы;Вместе с Айратом Хайруллиным на борту были ещё два человека, они живы;Айрат Хайруллин в Госдуме занимался вопросами аграрной политики Фото: duma.gov.ruСегодня под Казанью потерпел крушение вертолёт Bell 407, принадлежащий депутату Госдумы Айрату Хайруллину. По данным «Бизнес Online», вертолёт совершил жесткую посадку. Депутат Хайруллин погиб на месте, ещё два человека — его помощник и пилот — выжили, в тяжёлом состоянии спасатели передали их в руки медикам.Следственное управление на транспорте Приволжского округа уже начало проверку по факту случившегося, сообщает ТАСС. Как сообщил источник «Интерфакса», в качестве причин крушения вертолета рассматриваются технические неполадки и сложные метеоусловия.Тело Хайруллина придавило вертолетом Фото: Telegram-канал MashАйрат Хайруллин — российский мультимиллиардер, член «Единой России». В Государственной думе он занимался вопросами аграрной политики. Был президентом Национального союза производителей молока.В 2019 году Forbes поставил Хайруллина на 96-е место в рейтинге чиновников и депутатов с самыми большими доходами. ;1881;15;ЛАЙК2СМЕХ0УДИВЛЕНИЕ1ГНЕВ0ПЕЧАЛЬ0;Происшествия;#депутат, #крушение вертолета,
40;2020-02-08 13:53:22;https://ngs24.ru/news/more/66485119/;2020-02-07 20:34:13;Спасатели показали, как вытаскивают со дна затонувшие машины;Для этого в арсенале у спасателей есть видеодрон;Спасатели показали, как вытаскивают со дна автомобили Фото: Артем ЛенцСегодня специалисты КГКУ «Спасатель» наглядно показали, как они достают со дна затонувшие автомобили.Мы отправились с ними на Красноярское водохранилище, где спасатели заранее утопили учебные «ИЖ-комби» без двигателя и бензобака. Машину спустили на глубину 10 метров. В полынью запустили специальный видеодрон — он, кстати, управляется с обычного джойстика для PlayStation 3. После того как разведка дроном была проведена, водолаз спустился под воду и зацепил автомобиль тросом.Сверху поставили металлическую раму и лебедку, которой и вытягивали автомобили. Как рассказали специалисты, максимальная глубина, на которой можно провести подобную операцию, составляет 60 метров.Отметим, что провалы под лед в окрестностях Красноярска далеко не редкость. В прошлом году на Шумихе провалился автомобиль с двумя мужчинами и женщиной, последняя не смогла выбраться из авто и утонула. Ее супруга судили за причинение смерти по неосторожности.Для разведки — специальный дрон с камерой Фото: Артем ЛенцДрон управляется с геймпада PS3 Фото: Артем ЛенцПосле разведки в дело вступают водолазы Фото: Артем ЛенцУспешная рыбалка Фото: Артем Ленц;2189;6;ЛАЙК0СМЕХ2УДИВЛЕНИЕ0ГНЕВ1ПЕЧАЛЬ0;Работа;#спасатели, #автомобиль провалился под лед,
41;2020-02-08 13:53:23;https://ngs24.ru/news/more/66482311/;2020-02-07 19:32:16;«Чаще всего жертвами становятся молодые мамы»: интервью с директором кризисного центра о домашнем насилии;В этом году тема домашнего насилия вновь стала актуальной — общественники хотят вернуть уголовное наказание;В Красноярске в прошлом году прошло несколько пикетов за закон о домашнем насилии Фото: Наталия ЕрмаковаВ 2017 году в России побои в семье были декриминализованы и переведены в разряд административных правонарушений. В 2019 году вновь заговорили о том, чтобы наказание за домашнее насилие ужесточить, и даже был разработан соответствующий законопроект, который с тех пор претерпел несколько изменений, из-за чего его польза для профилактики и снижения уровня насилия в семьях вновь оказалась под вопросом. По официальной статистике каждый год избиению подвергается 16 миллионов женщин, за последнее десятилетие ежегодно от рук супруга погибали 300 женщин.Пугающе много людей уверены, что закон о домашнем насилии России не нужен: во-первых, потому что это вмешательство в семью, во-вторых, боятся его последствий, в-третьих, есть и те, кто уверены, что если женщину ударили — она сама довела партнера и заслужила быть избитой.Подробно сам закон мы разбирали в нашем специальном материале, а сейчас решили поговорить с руководителем красноярского кризисного центра «Верба» Натальей Пальчик. В интервью NGS24.RU она объяснила, как в идеале должен работать закон о домашнем насилии и почему всем станет лучше, если в России его примут. Наталья Пальчик, директор кризисного центра «Верба» Фото: предоставлено Натальей Пальчик — С тех пор, как домашнее насилие декриминализировали, стало ли у вас больше работы? Увеличилось ли количество пострадавших?— На самом деле мы не можем сказать, что у нас как-то сильно поменялась статистика или был заметный отток или приток тех, кому нужна помощь. Но появилось ощущение безнадежности, потому что сейчас больше не за что зацепиться, чтобы привлечь к ответственности человека, который творит что хочет.Поэтому когда новый закон о домашнем насилии начали продвигать, когда о нем заговорили, мы немного воспрянули духом, но я думаю, его не примут. А этот закон определенно нужен, потому что это вариант защиты и предотвращения более тяжкого преступления. Думаю, мало кто готов оспаривать, что человек, страдающий от побоев в семье, нуждается в защите со стороны государства, но сейчас этого не происходит. Нет защиты. Все зависит от личности и профессионализма участкового — один придет и постарается доходчиво объяснить агрессору, что так нельзя себя вести с близкими людьми, а другой придет для галочки или вовсе забудет прийти.В кризисном центре с женщинами работают психологи и юристы благодаря тому, что его поддерживает Фонд президентских грантов Фото: предоставлено Натальей Пальчик— Почему многие так боятся закона о домашнем насилии, проект которого сейчас продвигают активисты и даже некоторые депутаты? И почему он все-таки нужен? — Потому что этот закон во многом задевает семейную сферу, а у нас принято считать, что семья — это такая область, в которую государство лезть не должно, пока кого-то там реально не убили. Но тут важно соблюсти черту, понимая, когда взрослые люди действительно могут договариваться и у них такой стиль взаимодействия, когда поссорились, подрались и успокоились, а когда происходит реальное преступление.Во втором случае, то есть в случае с реальным домашним насилием, в основе лежит власть и контроль одного человека над другим, то есть когда один человек навязывает другому свое поведение. Чаще всего, к сожалению, в эту ситуацию попадают женщины с маленькими детьми, потому что в этом случае женщина от него зависима — она не может никуда уйти, устроиться на работу и почти всегда дома. Если человек по своей натуре насильник, то он прямо расцветает в такой ситуации, чувствует себя хозяином. И женщина, страдающая от его действий, поделать ничего не может. Если она и пойдет в полицию, максимум что ему сделают — заставят платить административный штраф из их общего семейного бюджета, после чего он поколотит ее еще сильнее.Есть еще такой момент, как неравенство правосудия: если один человек по пьяни ворует из стайки огурцы в банках, он может сесть на три года, а другому за перебитый нос у жены почему-то ничего не будет. А до уголовного дела дойдет, только если женщине был нанесен тяжкий вред здоровью и она несколько месяцев лежит в больнице, но даже травмы позвоночника у нас квалифицируют как средний вред здоровью. Нужно, наконец, сбалансировать законодательство, чтобы человек, распускающий руки, был привлечен к реальной ответственности и не чувствовал себя безнаказанно. Фото: Евгения Бикунова (инфографика)— Я также слышала, что многие боятся, что по новому закону всех подряд начнут сажать. Так ли это?— Нет. По новому законопроекту предлагается ввести несколько форм работы с агрессорами, и это не моментальная его изоляция в тюрьму.Одна из форм защиты, которую предлагают, — охранные ордера, потому что часто, даже когда женщина уходит, есть такие маниакального типа мужчины, которые не отпускают ее. А если есть дети, мужчина постоянно женщину разыскивает, портит ей жизнь, даже если уже сам давно женат на другой, но ему просто необходимо нагадить своей бывшей жене. Ордера позволят женщине получить защиту, то есть позвонить в полицию — и они обязаны будут приехать. Она и сейчас может позвонить, только не всегда полиция к ней приедет.Есть еще возможность работы с агрессией, например предлагать мужчине выбор — или идти в тюрьму, или пойти к психологу, психотерапевту, чтобы научиться управляться со своим гневом. В США, например, многие выбирают второе и уже примерно половина из этих людей действительно учатся быть спокойнее, семьи восстанавливаются, и все у них нормально. Тем более, как мы знаем, агрессивные мужчины часто хорошие работники и даже неплохие отцы, но имеющиеся психологические проблемы приводят к тому, что они так себя ведут.— Помимо физического насилия есть также психологическое. Нужно ли как-то его законодательно регулировать?— В нашей стране бы с физическим для начала разобраться, потому что даже не всегда угрозу убийством получается доказать, даже если есть свидетели или бывают видео, но суд не принимает их как весомые основания. Что тут говорить про психологическое насилие? А то у нас даже когда женщина изнасилованная, с выбитыми зубами, а говорят, что это все было полюбовно.Хотя, безусловно, оно есть — это унижение, оскорбления, травля. Например, когда муж говорит жене, что она никудышная мать, если ребенок получает двойку — обвиняет в этом ее, сравнивает с другими не в ее пользу. Также если ограничивает ее общение с подругами, родителями, чтобы они не внушили не дай бог что-то, чтобы она не подумала, что в ее семье что-то не так.Но, конечно, надо также понимать, что психологическое насилие — лишь этап к физическому, одного без другого чаще всего не бывает.— Мы поговорили о проблемах женщин в семье, а кому еще нужен закон о домашнем насилии?— На самом деле всем. Много стариков, над которыми молодежь измывается, выгоняет. У нас была бабушка, ей 80 лет, над ней сын родной издевался, не хватило денег на очередную бутылку, отправил в сберкассу снимать пенсию, а она не успела до закрытия. Он ее избил, домой не пустил. Нашли ее заплаканную на скамейке, привели к нам, в убежище. И таких историй достаточно.Дети, конечно, часто подвергаются насилию в семье, многие боятся, что с этим законом дети начнут массово жаловаться на родителей, их будут забирать, но у нас в крае телефон доверия, в том числе и для подростков, работает уже больше пяти лет, и вала звонков с жалобами на родителей замечено не было.Сохраните номера телефонов. Надеемся, они вам не пригодятся Фото: Евгения Бикунова (инфографика)— Расскажите, как работает кризисный центр «Верба»?— Обычно нас находят через интернет, звонят на телефон доверия, у нас есть психолог и юрист, которые могут конкретно консультировать по тем вопросам, которые связаны с семейным насилием.Мы вместе с женщиной составляем план безопасности, решаем, что делать дальше, кому-то предоставляем убежище, кто-то уходит от агрессии к своим родителям и знакомым, кто-то уходить не хочет и мы помогаем построить план действий чтобы уменьшить степень риска для женщины и ребенка.;1345;15;ЛАЙК0СМЕХ0УДИВЛЕНИЕ0ГНЕВ1ПЕЧАЛЬ0;Он и она  Интервью;#семейное насилие, #домашнее насилие,
42;2020-02-08 13:53:23;https://ngs24.ru/news/more/66484882/;2020-02-07 18:56:38;Суд присяжных оправдал парня, убившего свою бабушку из милосердия;Молодой человек убил свою родственницу из сострадания;Молодой человек убил свою родственницу из сострадания Фото: Артем ЛенцКак сообщили в красноярском краевом суде, присяжные сегодня оправдали 23-летнего Александра Рабцева, обвиненного в убийстве собственной бабушки.По версии следствия, в апреле 2018 года молодой человек убил свою родственницу, но не из-за злого умысла, а из сострадания, чтобы облегчить ее участь и судьбу матери, которая за ней ухаживала. Адвокат подсудимого убеждал присяжных, что вина парня не доказана, а причин убивать родственницу попросту не было.Присяжным необходимо было ответить на главные вопросы: доказана ли вина парня, и заслуживает ли он снисхождения. Обсуждение заняло три часа. Пятеро из восьми присяжных заседателей пришли к выводу, что обвиняемый не убийца. После оглашения вердикта парня освободили в зале суда.;4113;12;ЛАЙК2СМЕХ0УДИВЛЕНИЕ3ГНЕВ2ПЕЧАЛЬ1;Происшествия;#суд присяжных,
